Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Al-Hilal,30,18,7,5,60,27,33,61,"1,049",BafÃ©timbi Gomis - 24,Abdullah Al-Mayouf,â†’ AFC Champions League via league finish
2,Al-Shabab,30,17,6,7,68,43,25,57,152,Cristian Guanca - 17,Zaid Al Bawardi,â†’ AFC Champions League via league finish
3,Al-Ittihad,30,15,11,4,45,29,16,56,43,Romarinho - 16,Marcelo Grohe,â†’ AFC Champions League via league finish
4,Al-Taawoun,30,13,8,9,42,30,12,47,401,LÃ©andre Tawamba - 13,CÃ¡ssio,
5,Al-Ettifaq,30,14,5,11,50,48,2,47,90,"Walid Azaro, NaÃ¯m Sliti - 9",RaÃ¯s M'Bolhi,
6,Al-Nassr,30,13,7,10,53,40,13,46,"1,060",Abderrazak Hamdallah - 11,Brad Jones,
7,Al-Fateh,30,12,6,12,55,55,0,42,138,Mitchell te Vrede - 13,Maksym Koval,
8,Al-Ahli,30,11,6,13,44,56,-12,39,48,Omar Al Somah - 12,Mohammed Al-Owais,
9,Al-Faisaly,30,9,9,12,42,47,-5,36,71,JÃºlio Tavares - 15,Mustafa Malayekah,â†’ AFC Champions League via cup win
10,Al-Raed,30,10,6,14,44,47,-3,36,89,Karim El Berkaoui - 15,Azzedine Doukha,
11,Damac,30,9,9,12,43,48,-5,36,178,Emilio Zelaya - 19,Moustapha Zeghba,
12,Al-Batin,30,9,9,12,43,55,-12,36,113,FÃ¡bio Abreu - 17,MartÃ­n CampaÃ±a,
13,Abha,30,10,6,14,42,50,-8,36,133,Carlos Strandberg - 16,Abdelali Mhamdi,
14,Al-Qadsiah,30,8,11,11,41,47,-6,35,102,Hassan Al-Amri - 12,Faisel Masrahi,
15,Al-Wehda,30,9,5,16,40,60,-20,32,244,Youssouf NiakatÃ© - 11,Abdullah Al-Owaishir,
16,Al-Ain,30,5,5,20,34,64,-30,20,43,Amadou Moutari - 7,Ameen Bokhari,
